 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0.23, ,1.07004,-0.293978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.231, ,1.07404,-0.291778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.232, ,1.07804,-0.289578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.233, ,1.08204,-0.287378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.234, ,1.08604,-0.285178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.235, ,1.09004,-0.282978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.236, ,1.09404,-0.280778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.237, ,1.09804,-0.278578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.238, ,1.10204,-0.276378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.239, ,1.10604,-0.274178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.24, ,1.11004,-0.271978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.241, ,1.11404,-0.269778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.242, ,1.11804,-0.267578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.243, ,1.12204,-0.265378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.244, ,1.12604,-0.263178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
